#ID	text	majority	agreement	annotations
ABSA16-1506491:0.1	I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve <TARGET>food</TARGET> and wine for the gods at mortal prices.	positive	0.75	neither,positive,positive,positive
ABSA16-CLF#4:0.1	Single Worst <TARGET>Restaurant</TARGET> in Manhattan	negative	1.0	negative,negative
ABSA16-1264954:2.4	The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the <TARGET>service</TARGET> professional wan warm.	positive	1.0	positive,positive,positive
ABSA16-1126886:2.4	The service is excellent, the decor is great, and the food is delicious and comes in large <TARGET>portions</TARGET>.	positive	1.0	positive,positive,positive,positive,positive
ABSA16-527109:1.2	The restaurant has a Family feel, not least with regard to the <TARGET>portions</TARGET> which are enormous; the veal alone could have single-handedly solved third world famine.	positive	1.0	positive,positive
ABSA16-CLF#5:2.2	Highly impressed from the decor to the <TARGET>food</TARGET> to the hospitality to the great night I had!	positive	1.0	positive,positive
ABSA16-1123262:2.1	The combination of super-fresh <TARGET>ingredients</TARGET> in the dishes are unusual but really delicious.	positive	1.0	positive,positive
ABSA16-DBG#6:5.1	But for the <TARGET>Shabu Shabu</TARGET>, you won't find much better in NY.	neither	0.5	neither,positive
ABSA16-624715:3.1	Don't waste money on <TARGET>decor</TARGET>.	neither	0.6666666666666666	neither,neither,neutral
ABSA16-957145:3.2	I've also been amazed at all the new additions in the past few years: A new <TARGET>Jazz Bar</TARGET>, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!	positive	0.6666666666666666	neither,positive,positive
ABSA16-509227:1.1	The <TARGET>food</TARGET> is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.	negative	0.5	positive,reject,negative,negative
ABSA16-DBG#2:6.1	However, once I received my predictably mediocre order of what Dokebi thinks passes as Korean fair, (sometimes you have to settle when it's your only option), I got through about half my <TARGET>kimchee</TARGET> before I found a piece of random lettuce accompanied by a far more disgusting, slimy, clearly bad piece of fish skin.	negative	0.6666666666666666	neither,negative,negative
ABSA16-449802:0.3	Good spreads, great beverage selections and <TARGET>bagels</TARGET> really tasty.	positive	1.0	positive,positive,positive,positive
ABSA16-BG#5:7.2	But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the <TARGET>place</TARGET> to go for Indian food	neither	0.5	neither,negative
ABSA16-1664346:1.3	Everything was wonderful; food, <TARGET>drinks</TARGET>, staff, mileau.	positive	1.0	positive,positive,positive,positive
ABSA16-1470334:2.1	The <TARGET>bagels</TARGET> always warm, soft on the inside, crispy on the outside and enormous in size.	positive	1.0	positive,positive,positive,positive
ABSA16-1153034:0.2	Great pizza and fantastic <TARGET>service</TARGET>.	positive	1.0	positive,positive,positive
ABSA16-1053543:2.1	Their <TARGET>sake list</TARGET> was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!	positive	1.0	positive,positive
ABSA16-624715:1.1	Authentic <TARGET>Pakistani food</TARGET>.	positive	1.0	positive,positive,positive
ABSA16-454704:2.1	This <TARGET>place</TARGET> is not worth the prices.	negative	1.0	negative,negative,negative
ABSA16-TM#7:3.1	The <TARGET>space</TARGET> is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	neither	0.5	neither,positive,neither,negative
ABSA16-1398844:3.1	Slightly above average <TARGET>wines</TARGET> start at $70+ with only one selection listed at $30+.	negative	0.6666666666666666	neither,negative,negative
ABSA16-430342:6.1	Great neighborhood <TARGET>joint</TARGET>.	positive	1.0	positive,positive
ABSA16-TR#2:2.1	The high prices you're going to pay is for the <TARGET>view</TARGET> not for the food.	neither	0.5	neither,neutral
ABSA16-1352948:0.2	The place is a BISTRO which means: simple dishes and <TARGET>wine</TARGET> served efficiently in a bustling atmosphere.	reject	0.5	reject,positive
ABSA16-561054:2.3	The food is wonderful, tasty and filling, and the <TARGET>service</TARGET> is professional and friendly.	positive	1.0	positive,positive
ABSA16-503807:5.2	The service was friendly and the <TARGET>atmosphere</TARGET> was casual.	neither	0.5	neither,neutral
ABSA16-BG#1:2.1	Great <TARGET>survice</TARGET>	positive	1.0	positive,positive,positive,positive
ABSA16-CLF#1:0.1	A beautifully designed dreamy <TARGET>Egyptian restaurant</TARGET> that gets sceney at night.	positive	1.0	positive,positive
ABSA16-TR#2:5.1	We thought the <TARGET>dessert</TARGET> would be better, Wrong!	negative	1.0	negative,negative,negative
ABSA16-1341354:3.1	We concluded with <TARGET>tiramisu</TARGET> chocolate cake, both were delicious.	positive	1.0	positive,positive,positive
ABSA16-1062641:3.1	<TARGET>Service</TARGET> is top notch.	positive	1.0	positive,positive,positive,positive
ABSA16-758263:3.1	$20 for <TARGET>all you can eat sushi</TARGET> cannot be beaten.	positive	0.6666666666666666	positive,neither,positive
ABSA16-757762:2.1	He offers subpar <TARGET>service</TARGET> and has no personality.	negative	0.6666666666666666	neither,negative,negative
ABSA16-957145:2.1	Over the years the host, <TARGET>Vittorio</TARGET>, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.	positive	1.0	positive,positive
ABSA16-NP#3:2.2	Noodle pudding is exactly the type of service and <TARGET>food</TARGET> I enjoy.	positive	1.0	positive,positive,positive
ABSA16-610611:4.1	<TARGET>service</TARGET> is friendly, and never had a problem walking in and getting a table.	positive	1.0	positive,positive
ABSA16-1145510:3.2	A large is $20, and <TARGET>toppings</TARGET> are about $3 each.	neither	0.75	neither,neither,neither,negative
ABSA16-1660047:4.1	We did tip, I guess the model/<TARGET>waitress</TARGET> just wanted more and complained to the manager.	neither	0.5	neither,negative
ABSA16-1286916:0.1	I have NEVER been disappointed in the <TARGET>Red Eye</TARGET>.	positive	1.0	positive,positive,positive
ABSA16-WE#1:4.3	The <TARGET>pasta</TARGET> was well cooked, didn't have enough sauce though or flavor.	neither	0.5	neither,positive,neither,positive
ABSA16-707917:0.1	I have been to <TARGET>Rao's</TARGET> probably 15 times the past 3 years and it keeps getting better.	positive	1.0	positive,positive
