#ID	text	majority	agreement	annotations
comments2015d-45552-1.1	<TARGET>Kuopionlahden</TARGET> vierasvenelaituri (kuten nimi oikeasti on) on mielestämme tosi kiva.	positive	0.6666666666666666	positive,positive,neither,positive,neither,positive
comments2014a-469816-3.1	Käytetyssä <TARGET>Meganessa</TARGET> yksi etu verrattuna vaikkapa Skoda Octaviaan on se että Meganen voi ostaa jonkun vuoden uudempana.	positive	1.0	positive,positive,positive,positive,positive,positive
comments2007d-182055-6.1	Monet heistä ovat olleet kymmeniä vuosia <TARGET>Finnairin</TARGET> palveluksessa ja nyt tulee kenkää.	negative	0.8	negative,negative,negative,neither,negative
threads2013a-835251-2.1	<TARGET>Keskusta</TARGET> on aina ollut (ja on oleva) muun Suomen tuki ja turva.	positive	1.0	positive,positive,positive
comments2009a-483243-7.1	Itselläni on vuosimallin -93 <TARGET>LS-400</TARGET> ja olen tyytyväinen.	positive	1.0	positive,positive,positive,positive,positive
comments2003a-590164-4.1	<TARGET>The Beatles</TARGET> on edelleenki maailma parasta musiikkia, eikä sitä voita mikään!	positive	1.0	positive,positive,positive,positive,positive
threads2011b-327878-1.2	Roskaruokaa mukaan.. ... myyville (Mäcit, <TARGET>Heset</TARGET> ymv.) pitäisi laittaa jäte-/roskaamismaksu.	negative	0.6666666666666666	negative,positive,negative,negative,negative,neither
comments2014d-822316-1.1	Jos jotain pitäisi alkaa tutkia, on se <TARGET>rfsu:n</TARGET> motiivit ilmoittaa julkisesti selvästi todellisuutta pienempiä lukuja.	negative	1.0	negative,negative,negative
comments2005c-69174-2.2	Vene ei ole Wellu, ihan <TARGET>Yamarin</TARGET> -merkkinen vaan, mutta kohtuu nopea kuitenkin (n.38 s.)	positive	0.75	positive,neither,positive,positive
comments2009c-417413-1.2	Pari huonoa puolta tossa boikotissa Ensinnäkin Neste on toki suurin toimija Suomessa mutta <TARGET>Shell</TARGET> on Suomessa vasta viidentenä.	neither	0.8	neither,neither,neither,negative,neither
comments2003b-35033-9.2	Jos pitää halvalla saada auto, niin osta vaikka samanikäinen <TARGET>Nissan Sunny -87 1.6 SLX</TARGET>, niin toimii.	positive	1.0	positive,positive,positive,positive,positive,positive,positive
threads2009b-867830-1.2	Hotel Ibiscos Garden, <TARGET>Rethymnon</TARGET> Suosittelen kyseistä hotellia Rethymnoniin matkaaville.	positive	0.6	neither,positive,positive,neither,positive
